year,region,school,student
2019,강동구,고등학교,24.7
2018,전체,유치원,19.5
2018,전체,초등학교,22.9
2018,전체,중학교,24.4
2018,전체,고등학교,26.8
2018,종로구,유치원,19.7
2018,종로구,초등학교,19.9
2018,종로구,중학교,21.7
2018,종로구,고등학교,26.9
2018,중구,유치원,15.4
2018,중구,초등학교,21.2
2018,중구,중학교,17.3
2018,중구,고등학교,25.9
2018,용산구,유치원,19.9
2018,용산구,초등학교,20.9
2018,용산구,중학교,22.2
2018,용산구,고등학교,24.9
2018,성동구,유치원,21.4
2018,성동구,초등학교,20.4
2018,성동구,중학교,22.7
2018,성동구,고등학교,23.7
2018,광진구,유치원,22.3
2018,광진구,초등학교,22.9
2018,광진구,중학교,24.9
2018,광진구,고등학교,28.7
2018,동대문구,유치원,18.6
2018,동대문구,초등학교,22.1
2018,동대문구,중학교,22.9
2018,동대문구,고등학교,26.5
2018,중랑구,유치원,19.7
2018,중랑구,초등학교,21.9
2018,중랑구,중학교,23.4
2018,중랑구,고등학교,25.2
2018,성북구,유치원,19.7
2018,성북구,초등학교,23.7
2018,성북구,중학교,24.8
2018,성북구,고등학교,26.2
2018,강북구,유치원,16.4
2018,강북구,초등학교,22.8
2018,강북구,중학교,26.1
2018,강북구,고등학교,27.2
2018,도봉구,유치원,18.8
2018,도봉구,초등학교,22.1
2018,도봉구,중학교,23.4
2018,도봉구,고등학교,24.7
2018,노원구,유치원,18.6
2018,노원구,초등학교,22.2
2018,노원구,중학교,25
2018,노원구,고등학교,27.2
2018,은평구,유치원,17.4
2018,은평구,초등학교,23.6
2018,은평구,중학교,24.6
2018,은평구,고등학교,27.1
2018,서대문구,유치원,20.4
2018,서대문구,초등학교,22.5
2018,서대문구,중학교,22.5
2018,서대문구,고등학교,28
2018,마포구,유치원,19.7
2018,마포구,초등학교,22.5
2018,마포구,중학교,24.7
2018,마포구,고등학교,28.6
2018,양천구,유치원,18.8
2018,양천구,초등학교,23.8
2018,양천구,중학교,25.9
2018,양천구,고등학교,28.5
2018,강서구,유치원,19.6
2018,강서구,초등학교,22.8
2018,강서구,중학교,24.5
2018,강서구,고등학교,26.1
2018,구로구,유치원,20.6
2018,구로구,초등학교,22.8
2018,구로구,중학교,24
2018,구로구,고등학교,27.3
2018,금천구,유치원,16.7
2018,금천구,초등학교,20
2018,금천구,중학교,22.7
2018,금천구,고등학교,25.2
2018,영등포구,유치원,20.9
2018,영등포구,초등학교,20.9
2018,영등포구,중학교,23.5
2018,영등포구,고등학교,25.5
2018,동작구,유치원,18.6
2018,동작구,초등학교,23.8
2018,동작구,중학교,24.9
2018,동작구,고등학교,27.6
2018,관악구,유치원,18.6
2018,관악구,초등학교,22.1
2018,관악구,중학교,23.9
2018,관악구,고등학교,24.8
2018,서초구,유치원,21
2018,서초구,초등학교,26.3
2018,서초구,중학교,26.3
2018,서초구,고등학교,28.9
2018,강남구,유치원,19.7
2018,강남구,초등학교,25.2
2018,강남구,중학교,27.2
2018,강남구,고등학교,28.1
2018,송파구,유치원,21.5
2018,송파구,초등학교,23.5
2018,송파구,중학교,25.1
2018,송파구,고등학교,27.1
2018,강동구,유치원,21.9
2018,강동구,초등학교,23.2
2018,강동구,중학교,23
2018,강동구,고등학교,26.4
2017,전체,유치원,20.4
2017,전체,초등학교,23
2017,전체,중학교,25.6
2017,전체,고등학교,28.6
2017,종로구,유치원,20.3
2017,종로구,초등학교,20.1
2017,종로구,중학교,23.3
2017,종로구,고등학교,29
2017,중구,유치원,16.1
2017,중구,초등학교,21.4
2017,중구,중학교,18.2
2017,중구,고등학교,26.7
2017,용산구,유치원,21.2
2017,용산구,초등학교,21.2
2017,용산구,중학교,23.2
2017,용산구,고등학교,26.5
2017,성동구,유치원,22.2
2017,성동구,초등학교,20.7
2017,성동구,중학교,23.8
2017,성동구,고등학교,26
2017,광진구,유치원,23.1
2017,광진구,초등학교,23.1
2017,광진구,중학교,26.1
2017,광진구,고등학교,30.7
2017,동대문구,유치원,19.9
2017,동대문구,초등학교,22.9
2017,동대문구,중학교,24.5
2017,동대문구,고등학교,28.3
2017,중랑구,유치원,20.5
2017,중랑구,초등학교,22
2017,중랑구,중학교,24.7
2017,중랑구,고등학교,27
2017,성북구,유치원,20.5
2017,성북구,초등학교,24.1
2017,성북구,중학교,26.1
2017,성북구,고등학교,27.8
2017,강북구,유치원,18.5
2017,강북구,초등학교,23
2017,강북구,중학교,27.3
2017,강북구,고등학교,28.7
2017,도봉구,유치원,19.5
2017,도봉구,초등학교,22.4
2017,도봉구,중학교,25.1
2017,도봉구,고등학교,26.3
2017,노원구,유치원,19.2
2017,노원구,초등학교,22.8
2017,노원구,중학교,26.4
2017,노원구,고등학교,29.3
2017,은평구,유치원,17.1
2017,은평구,초등학교,23.4
2017,은평구,중학교,25.7
2017,은평구,고등학교,28.7
2017,서대문구,유치원,20.7
2017,서대문구,초등학교,22.4
2017,서대문구,중학교,23.1
2017,서대문구,고등학교,29.2
2017,마포구,유치원,20.5
2017,마포구,초등학교,22.6
2017,마포구,중학교,25.8
2017,마포구,고등학교,30.2
2017,양천구,유치원,19.4
2017,양천구,초등학교,23.8
2017,양천구,중학교,27.1
2017,양천구,고등학교,31
2017,강서구,유치원,20.5
2017,강서구,초등학교,22.5
2017,강서구,중학교,25.5
2017,강서구,고등학교,27.7
2017,구로구,유치원,21.4
2017,구로구,초등학교,23.1
2017,구로구,중학교,24.9
2017,구로구,고등학교,28.8
2017,금천구,유치원,18.4
2017,금천구,초등학교,20.2
2017,금천구,중학교,23.3
2017,금천구,고등학교,26.7
2017,영등포구,유치원,21.6
2017,영등포구,초등학교,20.6
2017,영등포구,중학교,24.5
2017,영등포구,고등학교,26.9
2017,동작구,유치원,19.7
2017,동작구,초등학교,24.5
2017,동작구,중학교,26.2
2017,동작구,고등학교,28.6
2017,관악구,유치원,20
2017,관악구,초등학교,22.4
2017,관악구,중학교,25.1
2017,관악구,고등학교,25.8
2017,서초구,유치원,22.3
2017,서초구,초등학교,26.5
2017,서초구,중학교,27.6
2017,서초구,고등학교,31
2017,강남구,유치원,22.6
2017,강남구,초등학교,25.1
2017,강남구,중학교,27.7
2017,강남구,고등학교,31
2017,송파구,유치원,22.4
2017,송파구,초등학교,23.8
2017,송파구,중학교,25.9
2017,송파구,고등학교,29.2
2017,강동구,유치원,21.8
2017,강동구,초등학교,22.4
2017,강동구,중학교,24.3
2017,강동구,고등학교,27.8
2016,전체,유치원,21.1
2016,전체,초등학교,23.4
2016,전체,중학교,26.6
2016,전체,고등학교,29.7
2016,종로구,유치원,20.5
2016,종로구,초등학교,21.2
2016,종로구,중학교,24.5
2016,종로구,고등학교,29.6
2016,중구,유치원,16.8
2016,중구,초등학교,22.4
2016,중구,중학교,19.7
2016,중구,고등학교,27.3
2016,용산구,유치원,22.5
2016,용산구,초등학교,21.6
2016,용산구,중학교,24.1
2016,용산구,고등학교,27.3
2016,성동구,유치원,22.1
2016,성동구,초등학교,21.4
2016,성동구,중학교,24.6
2016,성동구,고등학교,27.1
2016,광진구,유치원,23.5
2016,광진구,초등학교,23.4
2016,광진구,중학교,27.2
2016,광진구,고등학교,32.4
2016,동대문구,유치원,20.8
2016,동대문구,초등학교,23.1
2016,동대문구,중학교,25.5
2016,동대문구,고등학교,29.1
2016,중랑구,유치원,20.8
2016,중랑구,초등학교,22.6
2016,중랑구,중학교,25.8
2016,중랑구,고등학교,27.7
2016,성북구,유치원,21.5
2016,성북구,초등학교,24.3
2016,성북구,중학교,27.4
2016,성북구,고등학교,28.3
2016,강북구,유치원,20.6
2016,강북구,초등학교,23.2
2016,강북구,중학교,28.1
2016,강북구,고등학교,28.9
2016,도봉구,유치원,19.8
2016,도봉구,초등학교,22.8
2016,도봉구,중학교,26.5
2016,도봉구,고등학교,26.8
2016,노원구,유치원,20.4
2016,노원구,초등학교,23.1
2016,노원구,중학교,27.6
2016,노원구,고등학교,30.6
2016,은평구,유치원,19.3
2016,은평구,초등학교,23.8
2016,은평구,중학교,26.8
2016,은평구,고등학교,29.6
2016,서대문구,유치원,21.5
2016,서대문구,초등학교,22.1
2016,서대문구,중학교,24.2
2016,서대문구,고등학교,29.5
2016,마포구,유치원,21.4
2016,마포구,초등학교,23
2016,마포구,중학교,26.9
2016,마포구,고등학교,30.7
2016,양천구,유치원,20.5
2016,양천구,초등학교,24.3
2016,양천구,중학교,28.2
2016,양천구,고등학교,32.7
2016,강서구,유치원,20
2016,강서구,초등학교,23.2
2016,강서구,중학교,26.8
2016,강서구,고등학교,28.5
2016,구로구,유치원,21.6
2016,구로구,초등학교,23.4
2016,구로구,중학교,25.7
2016,구로구,고등학교,29.7
2016,금천구,유치원,18.9
2016,금천구,초등학교,21.8
2016,금천구,중학교,24
2016,금천구,고등학교,28.2
2016,영등포구,유치원,22.3
2016,영등포구,초등학교,21.6
2016,영등포구,중학교,25.8
2016,영등포구,고등학교,28.2
2016,동작구,유치원,20
2016,동작구,초등학교,24.7
2016,동작구,중학교,27.1
2016,동작구,고등학교,29.8
2016,관악구,유치원,21
2016,관악구,초등학교,23
2016,관악구,중학교,26.1
2016,관악구,고등학교,26.4
2016,서초구,유치원,23.2
2016,서초구,초등학교,26.5
2016,서초구,중학교,28.2
2016,서초구,고등학교,32.3
2016,강남구,유치원,22.5
2016,강남구,초등학교,25.3
2016,강남구,중학교,27.7
2016,강남구,고등학교,33.5
2016,송파구,유치원,22.4
2016,송파구,초등학교,23.8
2016,송파구,중학교,27
2016,송파구,고등학교,30.3
2016,강동구,유치원,22.2
2016,강동구,초등학교,23.6
2016,강동구,중학교,25.7
2016,강동구,고등학교,28.9
2015,전체,유치원,21.4
2015,전체,초등학교,24
2015,전체,중학교,28.5
2015,전체,고등학교,30.1
2015,종로구,유치원,21
2015,종로구,초등학교,21.1
2015,종로구,중학교,26.4
2015,종로구,고등학교,30.2
2015,중구,유치원,17.7
2015,중구,초등학교,23.2
2015,중구,중학교,22.4
2015,중구,고등학교,27.5
2015,용산구,유치원,22.2
2015,용산구,초등학교,22.3
2015,용산구,중학교,26.2
2015,용산구,고등학교,27.6
2015,성동구,유치원,23
2015,성동구,초등학교,22.2
2015,성동구,중학교,26.6
2015,성동구,고등학교,27.5
2015,광진구,유치원,23.5
2015,광진구,초등학교,23.8
2015,광진구,중학교,29.2
2015,광진구,고등학교,33.2
2015,동대문구,유치원,20.7
2015,동대문구,초등학교,23.7
2015,동대문구,중학교,27.5
2015,동대문구,고등학교,29.5
2015,중랑구,유치원,21.3
2015,중랑구,초등학교,22.9
2015,중랑구,중학교,27.6
2015,중랑구,고등학교,28.2
2015,성북구,유치원,22.2
2015,성북구,초등학교,24.6
2015,성북구,중학교,29
2015,성북구,고등학교,28.8
2015,강북구,유치원,22.4
2015,강북구,초등학교,24.2
2015,강북구,중학교,30.1
2015,강북구,고등학교,29.2
2015,도봉구,유치원,19.8
2015,도봉구,초등학교,23.2
2015,도봉구,중학교,28.5
2015,도봉구,고등학교,27.9
2015,노원구,유치원,20.2
2015,노원구,초등학교,23.9
2015,노원구,중학교,29.9
2015,노원구,고등학교,31
2015,은평구,유치원,18.8
2015,은평구,초등학교,24.3
2015,은평구,중학교,28.9
2015,은평구,고등학교,29.6
2015,서대문구,유치원,21.1
2015,서대문구,초등학교,23.4
2015,서대문구,중학교,26.4
2015,서대문구,고등학교,29.9
2015,마포구,유치원,22.1
2015,마포구,초등학교,23.8
2015,마포구,중학교,28.8
2015,마포구,고등학교,30.6
2015,양천구,유치원,20.9
2015,양천구,초등학교,24.7
2015,양천구,중학교,30.3
2015,양천구,고등학교,33.1
2015,강서구,유치원,20.8
2015,강서구,초등학교,23.8
2015,강서구,중학교,28.4
2015,강서구,고등학교,29.2
2015,구로구,유치원,22
2015,구로구,초등학교,23.8
2015,구로구,중학교,27.4
2015,구로구,고등학교,30.4
2015,금천구,유치원,19
2015,금천구,초등학교,22.4
2015,금천구,중학교,26
2015,금천구,고등학교,29.2
2015,영등포구,유치원,22.8
2015,영등포구,초등학교,22.3
2015,영등포구,중학교,28.1
2015,영등포구,고등학교,28.8
2015,동작구,유치원,20.7
2015,동작구,초등학교,25
2015,동작구,중학교,28.6
2015,동작구,고등학교,30.2
2015,관악구,유치원,21.8
2015,관악구,초등학교,23.9
2015,관악구,중학교,27.6
2015,관악구,고등학교,27.3
2015,서초구,유치원,23.5
2015,서초구,초등학교,27.2
2015,서초구,중학교,30
2015,서초구,고등학교,32.7
2015,강남구,유치원,22.5
2015,강남구,초등학교,25.3
2015,강남구,중학교,29.2
2015,강남구,고등학교,33.9
2015,송파구,유치원,22.4
2015,송파구,초등학교,24.8
2015,송파구,중학교,29.3
2015,송파구,고등학교,30.8
2015,강동구,유치원,22.5
2015,강동구,초등학교,24.1
2015,강동구,중학교,27.6
2015,강동구,고등학교,29.1
2014,전체,유치원,21.9
2014,전체,초등학교,24.3
2014,전체,중학교,30.2
2014,전체,고등학교,30.9
2014,종로구,유치원,22
2014,종로구,초등학교,21.2
2014,종로구,중학교,27.7
2014,종로구,고등학교,30.7
2014,중구,유치원,17.5
2014,중구,초등학교,23
2014,중구,중학교,23.9
2014,중구,고등학교,28.2
2014,용산구,유치원,22.3
2014,용산구,초등학교,22.7
2014,용산구,중학교,28.7
2014,용산구,고등학교,27.8
2014,성동구,유치원,24.3
2014,성동구,초등학교,22.7
2014,성동구,중학교,28.5
2014,성동구,고등학교,28.2
2014,광진구,유치원,24.1
2014,광진구,초등학교,24.2
2014,광진구,중학교,30.6
2014,광진구,고등학교,34.5
2014,동대문구,유치원,20.4
2014,동대문구,초등학교,23.7
2014,동대문구,중학교,29
2014,동대문구,고등학교,29.6
2014,중랑구,유치원,21.7
2014,중랑구,초등학교,23.1
2014,중랑구,중학교,29.4
2014,중랑구,고등학교,29.3
2014,성북구,유치원,23.1
2014,성북구,초등학교,24.8
2014,성북구,중학교,30.1
2014,성북구,고등학교,29.9
2014,강북구,유치원,22.5
2014,강북구,초등학교,24.5
2014,강북구,중학교,31.7
2014,강북구,고등학교,30.2
2014,도봉구,유치원,20.4
2014,도봉구,초등학교,23.8
2014,도봉구,중학교,30.4
2014,도봉구,고등학교,29.7
2014,노원구,유치원,21.2
2014,노원구,초등학교,24.1
2014,노원구,중학교,31.7
2014,노원구,고등학교,31.7
2014,은평구,유치원,18.3
2014,은평구,초등학교,24.2
2014,은평구,중학교,31.2
2014,은평구,고등학교,30.3
2014,서대문구,유치원,21.4
2014,서대문구,초등학교,23.9
2014,서대문구,중학교,28
2014,서대문구,고등학교,31.1
2014,마포구,유치원,22.9
2014,마포구,초등학교,23.8
2014,마포구,중학교,30.2
2014,마포구,고등학교,31
2014,양천구,유치원,22.3
2014,양천구,초등학교,24.8
2014,양천구,중학교,32.2
2014,양천구,고등학교,33.4
2014,강서구,유치원,21.5
2014,강서구,초등학교,24.3
2014,강서구,중학교,30.3
2014,강서구,고등학교,30.2
2014,구로구,유치원,22.6
2014,구로구,초등학교,24.1
2014,구로구,중학교,29.5
2014,구로구,고등학교,31.3
2014,금천구,유치원,20.9
2014,금천구,초등학교,22.6
2014,금천구,중학교,28.6
2014,금천구,고등학교,29.8
2014,영등포구,유치원,23.5
2014,영등포구,초등학교,22.6
2014,영등포구,중학교,29.7
2014,영등포구,고등학교,30
2014,동작구,유치원,20.7
2014,동작구,초등학교,25.4
2014,동작구,중학교,29.9
2014,동작구,고등학교,31.1
2014,관악구,유치원,21
2014,관악구,초등학교,24.1
2014,관악구,중학교,29.8
2014,관악구,고등학교,28.2
2014,서초구,유치원,23.9
2014,서초구,초등학교,27.1
2014,서초구,중학교,31.6
2014,서초구,고등학교,33.8
2014,강남구,유치원,22.3
2014,강남구,초등학교,25.6
2014,강남구,중학교,30.4
2014,강남구,고등학교,34.4
2014,송파구,유치원,23.8
2014,송파구,초등학교,25.3
2014,송파구,중학교,30.9
2014,송파구,고등학교,31.8
2014,강동구,유치원,22.7
2014,강동구,초등학교,24.5
2014,강동구,중학교,29.1
2014,강동구,고등학교,29.9
