학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자,제공기관코드,제공기관명
B000008404,미성중학교,중학교,1984-05-17,공립,본교,운영,서울특별시 관악구 신림동 745-24,서울특별시 관악구 문성로16길 40,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2024-07-09,37.47538281,126.9120889,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008246,장충중학교,중학교,1947-08-25,사립,본교,운영,서울특별시 중구 신당동 432-460,서울특별시 중구 동호로15길 93,7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2024-07-09,37.5535149,127.006415,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008357,대왕중학교,중학교,1994-05-06,공립,본교,운영,서울특별시 강남구 수서동 750,서울특별시 강남구 광평로20길 7,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2024-07-09,37.48346033,127.0873381,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008301,양동중학교,중학교,1984-01-09,공립,본교,운영,서울특별시 양천구 목동 600-6,서울특별시 양천구 목동중앙북로 49,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2024-07-09,37.54836875,126.8687172,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008186,대림중학교,중학교,1984-04-19,공립,본교,운영,서울특별시 영등포구 대림동 959,서울특별시 영등포구 시흥대로185길 6,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2024-07-09,37.49231887,126.9074673,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008334,마포중학교,중학교,1950-06-01,사립,본교,운영,서울특별시 강서구 등촌동 82-1,서울특별시 강서구 화곡로 403,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2024-07-09,37.55998867,126.8531334,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008147,창천중학교,중학교,2009-04-01,공립,본교,운영,서울특별시 마포구 노고산동 33-1,서울특별시 마포구 백범로1길 56,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2024-07-09,37.55491782,126.9392951,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008089,동대문중학교,중학교,1963-03-18,공립,본교,운영,서울특별시 동대문구 전농동 322-17,서울특별시 동대문구 사가정로 59,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2024-07-09,37.57452207,127.0519943,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008104,용마중학교,중학교,2000-03-01,공립,본교,운영,서울특별시 중랑구 면목동 378-2,서울특별시 중랑구 면목로28길 18,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2024-07-09,37.5745074,127.0862687,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008425,신양중학교,중학교,1984-05-09,공립,본교,운영,서울특별시 광진구 자양동 57-8,서울특별시 광진구 자양강변길 73,7010000,서울특별시교육청,7134000,서울특별시성동광진교육지원청,2013-11-29,2024-07-09,37.53365227,127.063431,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008289,한산중학교,중학교,1990-04-26,공립,본교,운영,서울특별시 강동구 둔촌동 161-1,서울특별시 강동구 풍성로 251,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2024-07-09,37.52890274,127.1403034,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008229,재현중학교,중학교,1971-04-01,사립,본교,운영,서울특별시 노원구 중계동 129-2,서울특별시 노원구 덕릉로82길 64,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2024-07-09,37.661264,127.0807998,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000025623,신길중학교,중학교,2021-10-13,공립,본교,운영,서울특별시 영등포구 신길동 4948,서울특별시 영등포구 신길로28길 43,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2024-07-09,37.502019,126.9154741,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008294,동신중학교,중학교,1950-05-16,사립,본교,운영,서울특별시 강동구 천호동 447-9,서울특별시 강동구 진황도로 72,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2024-07-09,37.53676952,127.1343666,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008162,오남중학교,중학교,1988-02-02,공립,본교,운영,서울특별시 구로구 오류동 산39-40,서울특별시 구로구 오리로9길 25,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2024-07-09,37.48705969,126.837249,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008316,영도중학교,중학교,1952-11-01,사립,본교,운영,서울특별시 양천구 목동 735,서울특별시 양천구 목동중앙남로 27,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2024-07-09,37.53631557,126.8657711,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008151,중암중학교,중학교,1985-05-13,공립,본교,운영,서울특별시 마포구 중동 63,서울특별시 마포구 월드컵북로38길 25,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2024-07-09,37.57243177,126.9035851,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008296,동북중학교,중학교,1953-06-04,사립,본교,운영,서울특별시 강동구 둔촌동 180-2,서울특별시 강동구 강동대로 305,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2024-07-09,37.52024061,127.1394507,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008189,윤중중학교,중학교,1982-04-19,공립,본교,운영,서울특별시 영등포구 여의도동 38-2,서울특별시 영등포구 여의동로3길 3,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2024-07-09,37.518978,126.9241232,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008286,고덕중학교,중학교,1984-11-30,공립,본교,운영,서울특별시 강동구 고덕동 223,서울특별시 강동구 동남로82길 94,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2024-07-09,37.56036661,127.1616435,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008297,상일중학교,중학교,1979-02-21,사립,본교,운영,서울특별시 강동구 상일동 189,서울특별시 강동구 천호대로219길 61,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2024-07-09,37.54858748,127.1708235,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008449,성신여자중학교,중학교,1936-04-28,사립,본교,운영,서울특별시 성북구 돈암동 산11-269,서울특별시 성북구 북악산로 918,7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2024-07-09,37.59462313,127.0231285,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008168,영림중학교,중학교,1979-10-19,공립,본교,운영,서울특별시 구로구 구로동 105-2,서울특별시 구로구 가마산로27길 17,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2024-07-09,37.49721962,126.8906895,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008137,인왕중학교,중학교,2010-03-01,공립,본교,운영,서울특별시 서대문구 홍제동 9-27,서울특별시 서대문구 세검정로4길 69,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2024-07-09,37.592735,126.9517793,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008171,시흥중학교,중학교,1993-05-04,공립,본교,운영,서울특별시 금천구 시흥동 산24-15,서울특별시 금천구 시흥대로38길 60,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2024-07-09,37.44629507,126.9050823,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008148,성서중학교,중학교,1984-04-19,공립,본교,운영,서울특별시 마포구 성산동 588-9,서울특별시 마포구 성산로4길 42,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2024-07-09,37.5627873,126.9079522,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008290,성내중학교,중학교,1985-04-06,공립,본교,운영,서울특별시 강동구 성내동 530,서울특별시 강동구 성안로7길 36,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2024-07-09,37.52906191,127.1291173,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008392,숭의여자중학교,중학교,1903-10-31,사립,본교,운영,서울특별시 동작구 대방동 20-114,서울특별시 동작구 여의대방로36길 79,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2024-07-09,37.50736414,126.9292433,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008457,수유중학교,중학교,1972-06-03,공립,본교,운영,서울특별시 강북구 수유동 491-61,서울특별시 강북구 인수봉로37길 40,7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2024-07-09,37.6315652,127.0104839,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000026884,내곡중학교,중학교,2018-05-01,공립,본교,운영,서울특별시 서초구 신원동 324,서울특별시 서초구 청계산로7길 9-20,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2024-07-09,37.45200325,127.0544446,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008146,성사중학교,중학교,1981-05-27,공립,본교,운영,서울특별시 마포구 성산동 124,서울특별시 마포구 모래내로9길 16,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2024-07-09,37.5680911,126.912683,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008192,도봉중학교,중학교,1971-10-25,공립,본교,운영,서울특별시 도봉구 도봉동 622-40,서울특별시 도봉구 마들로 671,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2024-07-09,37.67088384,127.0458717,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000022787,영동중학교,중학교,1970-05-25,공립,본교,운영,서울특별시 서초구 우면동 680,서울특별시 서초구 성촌길 14,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2024-07-09,37.46598629,127.0251408,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008291,신암중학교,중학교,1981-05-04,공립,본교,운영,서울특별시 강동구 암사동 444,서울특별시 강동구 고덕로 65,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2024-07-09,37.55636169,127.1336043,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000027509,해누리중학교,중학교,2019-03-01,공립,본교,운영,서울특별시 송파구 가락동 479-1,서울특별시 송파구 송파대로37길 95,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2024-07-09,37.498245,127.102192,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008344,신반포중학교,중학교,1984-05-02,공립,본교,운영,서울특별시 서초구 반포동 3-1,서울특별시 서초구 신반포로19길 26,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2024-07-09,37.50626532,126.996115,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008132,연희중학교,중학교,1972-05-06,공립,본교,운영,서울특별시 서대문구 남가좌동 368-1,서울특별시 서대문구 증가로 170,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2024-07-09,37.57958728,126.9187918,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008356,신사중학교,중학교,1984-04-18,공립,본교,운영,서울특별시 강남구 압구정동 410,서울특별시 강남구 압구정로 123,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2024-07-09,37.52469784,127.0211914,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008415,마장중학교,중학교,2005-04-05,공립,본교,운영,서울특별시 성동구 마장동 766-49,서울특별시 성동구 마장로35나길 31,7010000,서울특별시교육청,7134000,서울특별시성동광진교육지원청,2013-11-29,2024-07-09,37.56830949,127.042128,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008331,염경중학교,중학교,2006-05-23,공립,본교,운영,서울특별시 강서구 염창동 79-8,서울특별시 강서구 양천로69길 35,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2024-07-09,37.55453781,126.8705292,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008111,송곡여자중학교,중학교,1970-01-31,사립,본교,운영,서울특별시 중랑구 망우동 252-1,서울특별시 중랑구 양원역로 67,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2024-07-09,37.60668904,127.1051455,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000026209,한울중학교,중학교,1971-12-29,공립,본교,운영,서울특별시 금천구 시흥동 792-1,서울특별시 금천구 독산로50길 60,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2024-07-09,37.46240099,126.9071815,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008284,둔촌중학교,중학교,1986-01-29,공립,본교,운영,서울특별시 강동구 둔촌동 19-1,서울특별시 강동구 진황도로61길 25-30,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2024-07-09,37.53083609,127.1463317,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008285,강동중학교,중학교,2010-03-01,공립,본교,운영,서울특별시 강동구 강일동 347-3,서울특별시 강동구 풍산로 237,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2024-07-09,37.56965025,127.177836,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008114,구산중학교,중학교,1983-04-19,공립,본교,운영,서울특별시 은평구 구산동 182-45,서울특별시 은평구 갈현로15길 20-23,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2024-07-09,37.60987202,126.9094887,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008208,공릉중학교,중학교,1985-04-30,공립,본교,운영,서울특별시 노원구 공릉동 250,서울특별시 노원구 노원로1길 42,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2024-07-09,37.62222778,127.0836019,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008411,광희중학교,중학교,1937-05-21,공립,본교,운영,서울특별시 성동구 응봉동 193,서울특별시 성동구 독서당로62길 46,7010000,서울특별시교육청,7134000,서울특별시성동광진교육지원청,2013-11-29,2024-07-09,37.55115453,127.0339801,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000030582,개포중학교,중학교,1983-04-22,공립,본교,운영,서울특별시 강남구 개포동 660-37,서울특별시 강남구 선릉로 9,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2024-07-09,37.48078757,127.0616268,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008142,정원여자중학교,중학교,1969-04-08,사립,본교,운영,서울특별시 서대문구 홍은동 산11-141,서울특별시 서대문구 연희로37안길 51,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2024-07-09,37.58538212,126.9333431,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008304,목일중학교,중학교,1987-05-08,공립,본교,운영,서울특별시 양천구 신정동 330-2,서울특별시 양천구 목동동로8길 70,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2024-07-09,37.51354095,126.8740325,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008416,경일중학교,중학교,2004-05-06,공립,본교,운영,서울특별시 성동구 성수동1가 22-27,서울특별시 성동구 성수일로 27,7010000,서울특별시교육청,7134000,서울특별시성동광진교육지원청,2013-11-29,2024-07-09,37.54382982,127.0478683,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008273,풍성중학교,중학교,1991-04-30,공립,본교,운영,서울특별시 송파구 풍납동 388-16,서울특별시 송파구 강동대로2길 27,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2024-07-09,37.52543858,127.1128839,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008129,선정중학교,중학교,1950-05-22,사립,본교,운영,서울특별시 은평구 갈현동 227-5,서울특별시 은평구 서오릉로20길 19,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2024-07-09,37.61870451,126.9090316,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008193,신방학중학교,중학교,1994-05-04,공립,본교,운영,서울특별시 도봉구 방학동 307-1,서울특별시 도봉구 시루봉로 156,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2024-07-09,37.66414043,127.028899,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008122,상신중학교,중학교,1985-05-06,공립,본교,운영,서울특별시 은평구 신사동 141,서울특별시 은평구 증산로15길 61,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2024-07-09,37.58978547,126.9064249,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008251,오산중학교,중학교,1907-05-15,사립,본교,운영,서울특별시 용산구 보광동 168-4,서울특별시 용산구 보광로7길 17,7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2024-07-09,37.52358051,127.0008872,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008118,은평중학교,중학교,1984-05-04,공립,본교,운영,서울특별시 은평구 구산동 182-44,서울특별시 은평구 갈현로17나길 12-1,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2024-07-09,37.610619,126.9083472,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008458,화계중학교,중학교,1970-10-04,공립,본교,운영,서울특별시 강북구 수유동 491-28,서울특별시 강북구 화계사길 63,7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2024-07-09,37.63251806,127.0097091,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008234,경신중학교,중학교,1885-05-09,사립,본교,운영,서울특별시 종로구 혜화동 5-119,서울특별시 종로구 혜화로 74,7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2024-07-09,37.59220227,126.999531,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008195,창동중학교,중학교,1983-04-21,공립,본교,운영,서울특별시 도봉구 방학동 722-27,서울특별시 도봉구 방학로 32,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2024-07-09,37.66322957,127.0489975,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008463,영훈국제중학교,중학교,1969-03-27,사립,본교,운영,서울특별시 강북구 미아동 471-2,서울특별시 강북구 도봉로13가길 19,7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2024-07-09,37.61468187,127.0280933,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008300,목운중학교,중학교,2009-05-06,공립,본교,운영,서울특별시 양천구 목동 922,서울특별시 양천구 목동동로 235,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2024-07-09,37.52700952,126.8730442,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008199,노곡중학교,중학교,1989-05-06,공립,본교,운영,서울특별시 도봉구 창동 32,서울특별시 도봉구 노해로70길 95,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2024-07-09,37.64880251,127.0537437,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008115,증산중학교,중학교,1986-04-17,공립,본교,운영,서울특별시 은평구 증산동 산24-4,서울특별시 은평구 증산로5길 27-30,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2024-07-09,37.58344275,126.904157,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008141,중앙여자중학교,중학교,1940-10-10,사립,본교,운영,서울특별시 서대문구 북아현동 190-1,서울특별시 서대문구 북아현로11가길 7,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2024-07-09,37.56317672,126.9540593,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008232,대신중학교,중학교,1938-04-05,사립,본교,운영,서울특별시 종로구 행촌동 171-1,서울특별시 종로구 사직로 9,7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2024-07-09,37.573109,126.9612546,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008432,건국대학교사범대학부속중학교,중학교,1968-05-15,사립,본교,운영,서울특별시 광진구 화양동 528-4,서울특별시 광진구 자양로 145-1,7010000,서울특별시교육청,7134000,서울특별시성동광진교육지원청,2013-11-29,2024-07-09,37.54172407,127.0815971,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008231,청운중학교,중학교,1952-02-01,공립,본교,운영,서울특별시 종로구 청운동 89-142,서울특별시 종로구 창의문로 51,7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2024-07-09,37.58917094,126.971096,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008194,방학중학교,중학교,1982-04-15,공립,본교,운영,서울특별시 도봉구 방학동 313,서울특별시 도봉구 시루봉로 188,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2024-07-09,37.66545122,127.030859,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008254,보성여자중학교,중학교,1907-10-10,사립,본교,운영,서울특별시 용산구 용산동2가 1-1123,서울특별시 용산구 신흥로3가길 66,7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2024-07-09,37.54308154,126.9842842,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008443,고명중학교,중학교,1955-05-20,사립,본교,운영,서울특별시 성북구 돈암동 45-88,서울특별시 성북구 북악산로 870,7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2024-07-09,37.59767468,127.0191869,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008439,개운중학교,중학교,2006-03-01,공립,본교,운영,서울특별시 성북구 돈암동 83-145,서울특별시 성북구 북악산로 935,7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2024-07-09,37.59462665,127.0248421,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008262,잠신중학교,중학교,1984-04-25,공립,본교,운영,서울특별시 송파구 잠실동 22-1,서울특별시 송파구 잠실로 12,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2024-07-09,37.51613937,127.087802,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008153,상암중학교,중학교,2007-06-05,공립,본교,운영,서울특별시 마포구 상암동 1657,서울특별시 마포구 상암산로1길 26,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2024-07-09,37.57905692,126.8875508,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008113,혜원여자중학교,중학교,1970-03-05,사립,본교,운영,서울특별시 중랑구 망우동 519,서울특별시 중랑구 봉우재로58길 39,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2024-07-09,37.59327987,127.0970427,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008310,양강중학교,중학교,1987-05-07,공립,본교,운영,서울특별시 양천구 신월동 499-2,서울특별시 양천구 중앙로 319,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2024-07-09,37.52491016,126.849688,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008295,배재중학교,중학교,1885-06-08,사립,본교,운영,서울특별시 강동구 고덕동 313,서울특별시 강동구 고덕로 227,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2024-07-09,37.55505939,127.1502473,2024-09-20,B555223,재단법인한국지방교육행정연구재단
